"filename", "language", "JSON with Comments", "JSON", "JavaScript", "Properties", "XML", "TypeScript", "Markdown", "Prisma", "TypeScript JSX", "CSS", "SQL", "comment", "blank", "total"
"/Users/noah/Documents/GitHub/typing-game/my-app/app/lib/prisma.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/noah/Documents/GitHub/typing-game/my-app/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 27
"/Users/noah/Documents/GitHub/typing-game/my-app/app/stats/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"/Users/noah/Documents/GitHub/typing-game/my-app/app/user_settings/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"/Users/noah/Documents/GitHub/typing-game/my-app/next.config.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"/Users/noah/Documents/GitHub/typing-game/my-app/package-lock.json", "JSON", 0, 5617, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5618
"/Users/noah/Documents/GitHub/typing-game/my-app/package.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"/Users/noah/Documents/GitHub/typing-game/my-app/postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/noah/Documents/GitHub/typing-game/my-app/prisma/index.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/noah/Documents/GitHub/typing-game/my-app/prisma/migrations/20231117060405_init/migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 4, 6, 29
"/Users/noah/Documents/GitHub/typing-game/my-app/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 5, 32
"/Users/noah/Documents/GitHub/typing-game/my-app/public/next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/noah/Documents/GitHub/typing-game/my-app/public/vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/noah/Documents/GitHub/typing-game/my-app/tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"/Users/noah/Documents/GitHub/typing-game/my-app/tsconfig.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 30, 5664, 10, 2, 2, 270, 23, 25, 769, 491, 19, 79, 212, 7596
